Year,CT_Tons,CT_AvgMXNt,CT_WavgMXNt,EA_Tons,EA_AvgMXNiat,EA_WavgMXNiat
1991,7287.316,51150.930969338,4703.199194607,,,
1992,3406.114,98191.251501633,13354.232042716,,,
1994,1501.688,43142.619893587,51549.420857786,,,
1995,19485.044,89201.369790226,63566.613133158,,,
1996,40216.558,38614.150766870,35807.039213931,,,
1997,51008.105,34785.051179690,28064.953397961,24957,28695.75573,28695.75573
1998,15730.112,48477.739938611,32819.276595082,7780,33032.79022,33032.79022
1999,28765.348,38456.287188006,32640.685476166,13885,33360.66525,33360.66525
2000,19207.685,24715.646937440,20781.190808106,9604,20767.97688,20767.97688
2001,19405.514,33445.923938014,23572.855401931,9703,23572.91693,23572.91693
2002,29189.792,23895.815757325,22330.405964231,14597,22328.20299,22328.20299
2003,23246.69,31616.639002702,29255.245465051,11624,29253.66462,29253.66462
2004,31509.774,23102.617388926,11936.277378469,9536,19721.17641,19721.17641
2005,10668.448,25788.753131153,27792.830043857,4812,27527.8334,27527.8334
2006,16034.95,40821.824125887,16328.972848250,4578,14006.8526,14006.8526
2007,10995.45,68571.087759480,18807.431553825,7122,15340.27192,15340.27192
2008,24836.814,16991.678824308,17718.22694417,16677,16542.32303,16542.32303
2009,14330.786,24831.607999975,31542.418747585,10006,24059.37896,24059.37896
2010,26414.016,23269.378780091,19477.523591028,18127,18204.75483,18204.75483
2011,39859.226,23220.587734205,20794.868849061,21405,19794.19127,19794.19127
2012,,,,5870,21152.41656,21152.41656
2013,,,,15756,21137.61586,21137.61586
2014,,,,,,
