cruise,station,type,yyyy-mm-ddThh:mm,decimal_year,lonE,lonW,lat,day_of_yr,z_0,T_0,S_0,O_0,D_15,D_19,D_20,D_21,D_22,D_23,D_24,D_25,T_5,T_10,T_15,T_20,T_25,T_30,T_40,T_50,T_75,T_100,T_125,T_150,T_200,T_250,T_300,DO_20,DO_60
SR_Nov05,SR1,C,2005-11-14T11:24,2005.8712,247.756,112.244,27.381,318,0,23.957,35.365,,89.555,32,28.0868,26.6918,19.1783,14,,,23.63,23.514,22.915,21.871,21.385,19.55,17.933,17.348,15.708,14.387,13.611,12.986,12.27,11.291,10.701,,
SR_Nov05,SR2,C,2005-11-15T08:34,2005.874,247.834,112.166,27.317,319,0.994,24.08,35.393,195.688,121.415,54.691,43.753,34.805,32.456,25.5318,13.923,,24.079,24.0751,23.9292,23.4625,23.1181,22.3151,20.5059,19.3088,17.1401,16.0279,14.7226,13.589,12.474,11.9375,10.828,213.825,103.634
SR_Nov05,SR3,C,2005-11-15T10:04,2005.874,247.82001,112.17999,27.315,319,2.983,23.715,35.537,172.814,113.092,43.753,38.658,36.5881,28.839,21.878,,,23.6804,23.5384,23.4399,23.2292,22.5277,21.7966,19.4828,18.3328,16.6257,15.6705,14.3735,13.545,12.5132,11.5798,,217.851,90.7154
SR_Nov05,SR4,B,2005-11-15T11:35,2005.874,247.811,112.189,27.312,319,0.995,23.994,33.118,127.617,120.3,38.3885,32.2151,30.1551,26.2376,15.5974,0.995,,23.6854,23.5187,23.101,22.531,22.2521,21.1006,18.7777,17.8052,16.396,15.323,14.5958,13.784,,,,185.236,81.2924
SR_Nov05,SR5,C,2005-11-15T14:36,2005.874,247.868,112.132,27.278,319,6.962,24.42,35.397,184.522,91.474,48.0204,44.1909,41.1437,35.9068,25.855,13.6158,,,24.275,23.8304,23.6282,23.1492,22.5966,21.208,18.8056,16.6086,14.5667,13.437,12.839,11.6353,10.456,9.785,180.881,80.7939
SR_July06,SR4,B,2006-07-07T14:00,2006.5151,247.80099,112.19901,27.317,188,0.994,30.3,37.699,180.093,,67.0455,47.679,39.733,34.2473,28.4792,23.5911,21.77,30.2859,29.7199,28.629,26.7812,23.6272,22.8521,20.9869,20.011,18.5878,16.6918,15.7814,,,,,,
SR_July06,SR3,B,2006-07-07T16:03,2006.5151,247.81799,112.18201,27.312,188,0.993,28.531,40.323,122.627,141.018,62.1093,43.706,38.3484,29.3536,25.827,19.7209,18.4173,28.6962,26.7198,26.3045,23.8422,23.0395,21.8206,20.7427,19.4256,18.0763,16.7435,15.8661,14.741,13.5777,,,,202.431
SR_July06,SR2,C,2006-07-07T17:04,2006.5151,247.83301,112.16699,27.327,188,0.994,30.526,38.176,162.68,139.032,60.932,43.0462,37.747,29.1094,26.0236,22.1695,19.6195,29.4449,26.0174,25.5842,24.9457,23.1904,21.7022,20.4225,19.5902,17.8764,16.5593,15.4071,14.67,13.7936,12.75,11.023,295.827,213.725
PP_July06,PP1,C,2006-07-09T10:06,2006.5205,247.673,112.327,27.564,190,0.993,30.213,38.871,125.957,153.923,65.7119,56.2522,46.686,35.76,32.6207,31.0502,28.4036,30.4812,28.8213,26.0457,25.3895,25.3048,24.6744,21.8244,20.6934,18.3733,17.0992,15.7555,15.05,13.8822,12.897,12.302,361.824,222.857
SR_July06,SR1,C,2006-07-09T14:33,2006.5205,247.756,112.244,27.379,190,0.993,30.833,35.214,182.443,135.061,74.1252,63.8865,52.4442,47.5092,45.8784,43.3578,37.747,29.5133,28.7739,28.0842,27.8715,26.6316,25.8179,24.6647,21.5276,18.865,17.0206,15.5898,14.589,13.3602,12.57,11.404,285.355,170.484
