Year, Data, BEM, BLM, MLM
1996.0, NaN, 18821.746971939345, 19122.897112573548, 19122.897112573548
1997.0, NaN, 18676.193842340545, 18666.904590134396, 12104.609859759716
1998.0, NaN, 21100.156580009898, 23940.619929047374, 2425.374462637721
1999.0, NaN, 19804.588015680518, 20719.854367158885, 10058.575511872614
2000.0, NaN, 19861.93588674949, 21591.647995894473, 1679.1418567964301
2001.0, 2985.128596232288, 19420.11197554656, 20083.48509744153, 4368.692301615588
2002.0, 3262.064766458132, 18803.52920020002, 18846.53339090882, 1971.5281705809064
2003.0, 2554.7180262592897, 18973.125450743897, 19383.998163369844, 1842.6268362766102
2004.0, 3086.2089930545094, 19142.94747785181, 19227.38593877503, 1681.615326542615
2005.0, 3202.3779796452727, 19911.953504427427, 20211.487144877603, 1948.9315606068055
2006.0, 3015.7469801106213, 19588.034967484655, 19764.027513175075, 3282.8960942286312
2007.0, 3611.7716042267075, 19797.22080625886, 19849.243152398445, 2118.7143769300064
2008.0, 2559.5151038785843, 19193.239886790583, 19175.81719902947, 2397.9440408237106
2009.0, 2592.7874353377906, 19784.767396041978, 22142.32323116991, 2736.3342675012373
2010.0, 3780.764395757049, 20260.818542856305, 21208.618605991127, 5590.491714751153
2011.0, 5529.214991734598, 20593.902205539936, 22746.585046394313, 9247.68335273293
2012.0, 5346.364533630525, 21228.207318360037, 22989.260788602256, 9039.493502701192
2013.0, 7833.797830624607, 22506.49271169151, 23638.71566186089, 9540.187864693926
2014.0, 9238.328423008561, 20519.861851532634, 21513.615010555553, 10977.320569615775
2015.0, 10147.78435156858, 23663.898402117924, 30562.767664837815, 5306.606572296608
2016.0, 15439.019873405683, 23955.627228726924, NaN, NaN
